Site,Year,Species,Band No,Date,Age,Sex,Fat,Wing,Mass,F tissue code,corr dD non-ex H,corr dD ex + non-ex H,C tissue code,Linear corr d13C,wt %C,wt %N,Linear corr d15N,,,,,,,,
MAD,2012,AMRE,2620-74954,04/23/12,ASY,M,1,61,7.9,MAAM4b,-53.27,-28.44,MAAM4b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2012,AMRE,2620-74955,04/23/12,ASY,M,1,64,8.1,MAAM5,-56.85,-32.33,MAAM5,-22.61,49.33,15.23,no_data,,,,,,,,
MAD,2012,AMRE,2620-74979,05/08/12,SY,M,1,63,7.4,MAAM6,-87.34,-65.4,MAAM6,-22.05,48.25,14.95,no_data,,,,,,,,
MAD,2012,AMRE,2620-74986,05/08/12,ASY,M,0,63,8.1,MAAM7,-93.96,-72.58,MAAM7,-20.58,48.71,15.52,no_data,,,,,,,,
MAD,2012,AMRE,2620-74988,05/09/12,ASY,F,1,59,7,MAAM8,-114.6,-94.96,MAAM8,-23.81,46.72,14.87,no_data,,,,,,,,
APP,2013,AMRE,263013210,04/22/13,SY,F,1,58,7,APAM1,-40.94,-15.07,APAM1,-22.37,48.67,15.59,no_data,,,,,,,,
APP,2013,AMRE,263013214,05/01/13,ASY,F,1,59,6.3,APAM2a,-55.17,-30.5,APAM2a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,AMRE,263013214,05/01/13,ASY,F,1,59,6.3,APAM2b,-53.85,-29.07,APAM2b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,AMRE,263013219,05/09/13,SY,F,0,59,6.3,APAM3,-58.74,-34.37,APAM3,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,AMRE,263013220,05/10/13,SY,M,1,63,7,APAM4,-68.68,-45.15,APAM4,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2013,AMRE,2630-24143,04/09/13,ASY,M,2,63,8,JOAM23,-42.17,-14.44,JOAM23,-23.08,47.36,14.71,no_data,,,,,,,,
JOB,2013,AMRE,2630-24146,04/14/13,ASY,M,2,64,7.8,JOAM24,-39.22,-11.2,JOAM24,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2013,AMRE,2630-24152,04/16/13,ASY,M,1,64,7,JOAM25,-46.16,-18.82,JOAM25,-22.98,47.82,14.75,no_data,,,,,,,,
JOB,2013,AMRE,2630-24153,04/16/13,ASY,M,1,61,6.6,JOAM26,-58.66,-32.53,JOAM26,-22.81,47.48,15.16,no_data,,,,,,,,
JOB,2013,AMRE,2630-24167,04/16/13,ASY,M,2,62,7.7,JOAM27,-45.17,-17.73,JOAM27,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2013,AMRE,2630-24265,04/23/13,ASY,F,2,60,7.1,JOAM28,-41.22,-13.39,JOAM28,-22.75,49.09,15.23,no_data,,,,,,,,
MAD,2013,AMRE,2530-12171,04/18/13,SY,F,1,60,8,MAAM10,-52.31,-27.4,MAAM10,-21.54,48.66,15.27,no_data,,,,,,,,
MAD,2013,AMRE,2530-12183,04/21/13,ASY,F,0,61,6.5,MAAM11,-51.19,-26.19,MAAM11,-22.81,46.55,14.82,no_data,,,,,,,,
MAD,2013,AMRE,2530-12189,04/25/13,SY,M,0,59,6.1,MAAM12,-41.17,-15.32,MAAM12,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,AMRE,2570-44042,04/25/13,ASY,M,0,65,7.8,MAAM13,-59.66,-35.37,MAAM13,-22.59,47.04,14.63,no_data,,,,,,,,
MAD,2013,AMRE,2570-44054,04/25/13,SY,F,1,60,6.9,MAAM14,-52.57,-27.68,MAAM14,-21.81,43.6,13.83,no_data,,,,,,,,
MAD,2013,AMRE,2620-74695,05/01/13,ASY,F,0,58,6.9,MAAM15,-54.23,-29.48,MAAM15,-21.7,46.49,14.92,no_data,,,,,,,,
MAD,2013,AMRE,2620-74816,05/04/13,SY,M,0,62,6.2,MAAM16,-123.51,-104.63,MAAM16,-22.12,46.59,14.97,no_data,,,,,,,,
MAD,2013,AMRE,2620-74875,05/07/13,ASY,M,0,65,7.3,MAAM17,-112.13,-92.29,MAAM17,-24.51,49.02,15.42,no_data,,,,,,,,
MAD,2013,AMRE,2620-74899,05/07/13,SY,M,0,59,5.8,MAAM18,-123.36,-104.47,MAAM18,-22.31,47.6,15.17,no_data,,,,,,,,
MAD,2013,AMRE,2670-12330,05/09/13,SY,F,1,57,8,MAAM19,-101.98,-81.27,MAAM19,-24.35,49.87,15.22,no_data,,,,,,,,
MAD,2013,AMRE,2670-12331,05/09/13,ASY,F,0,59,7.4,MAAM20,-135.61,-117.75,MAAM20,-24.29,47.09,14.64,no_data,,,,,,,,
MAD,2013,AMRE,2670-12337,05/10/13,ASY,M,3,61,7.5,MAAM21,-115.69,-96.15,MAAM21,-22.93,48.6,15.08,no_data,,,,,,,,
MAD,2013,AMRE,2670-12338,05/10/13,ASY,M,0,63,7.7,MAAM22,-129.17,-110.77,MAAM22,-20,45.44,14.33,no_data,,,,,,,,
MAD,2013,AMRE,2670-12345,05/10/13,SY,F,0,57,6.2,MAAM23,-134.01,-116.01,MAAM23,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,AMRE,2670-12346,05/10/13,ASY,M,0,62,7.3,MAAM24a,-113.16,-93.4,MAAM24a,-24.46,46.66,15.08,no_data,,,,,,,,
MAD,2013,AMRE,2670-12346,05/10/13,ASY,M,0,62,7.3,MAAM24b,-114.02,-94.33,MAAM24b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,AMRE,2670-12356,05/10/13,SY,F,0,57,7.1,MAAM25,-100.43,-79.59,MAAM25,-22.63,50.01,15.11,no_data,,,,,,,,
MAD,2013,AMRE,2670-12358,05/10/13,SY,M,1,59,7.2,MAAM26,-133.76,-115.74,MAAM26,-19.37,46.86,15.37,no_data,,,,,,,,
MAD,2013,AMRE,2530-12137,04/02/13,ASY,M,0,63,7.6,MAAM9,-44.18,-18.58,MAAM9,-22.97,47.52,15.28,no_data,,,,,,,,
APP,2014,AMRE,268013209,04/15/14,ASY,M,2,63,8.1,FAAM01a,-59.49,-18.89,CAAM01a,-23.51,48.71,14.35,2.71,,,,,,,,
APP,2014,AMRE,268013209,04/15/14,ASY,M,2,63,8.1,FAAM01b,-58.83,-18.18,CAAM01b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013210,04/16/14,ASY,F,0,60,6.9,FAAM02,-51.06,-9.77,CAAM02,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013216,04/19/14,ASY,M,1,65,6,FAAM03a,-55.53,-14.61,CAAM03a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013216,04/19/14,ASY,M,1,65,6,FAAM03b,-53.08,-11.95,CAAM03b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013218,04/19/14,ASY,F,0,60,6.5,FAAM04,-56.37,-15.52,CAAM04,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013219,04/20/14,ASY,M,0,63,7.1,FAAM05a,-66.09,-26.04,CAAM05a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013219,04/20/14,ASY,M,0,63,7.1,FAAM05b,-65.80,-25.72,CAAM05b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013228,04/20/14,SY,M,0,60,6.1,FAAM06,-55.69,-14.78,CAAM06,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013235,04/23/14,ASY,M,0,61,7.3,FAAM07,-46.98,-5.35,CAAM07,-22.75,44.28,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013237,04/23/14,ASY,M,0,63,6.9,FAAM08a,-149.57,-116.38,CAAM08a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013237,04/23/14,ASY,M,0,63,6.9,FAAM08b,-152.82,-119.90,CAAM08b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013239,04/30/14,SY,M,0,61,7.3,FAAM09,-92.20,-54.30,CAAM09,-23.19,48.48,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013241,05/03/14,ASY,M,0,64,7.1,FAAM10,-98.31,-60.91,CAAM10,-22.24,46.54,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013244,05/09/14,ASY,F,0,61,6,FAAM11,-85.57,-47.12,CAAM11,-23.07,46.79,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013245,05/09/14,AHY,M,1,52,8.8,FAAM12a,-107.38,-70.72,CAAM12a,-21.64,46.96,no_data,no_data,,,,,,,,
APP,2014,AMRE,268013245,05/09/14,AHY,M,1,52,8.8,FAAM12b,-109.36,-72.86,CAAM12b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024810,04/06/14,ASY,M,1,63.5,7.5,FJAM01a,-55.71,-19.66,CJAM01a,-22.75,47.22,14.76,6.23,,,,,,,,
JOB,2014,AMRE,263024810,04/06/14,ASY,M,1,63.5,7.5,FJAM01b,-54.52,-18.34,CJAM01b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024813,04/06/14,ASY,M,1,65,6.8,FJAM02,-58.39,-22.63,CJAM02,-23.11,46.97,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024817,04/06/14,ASY,M,1,64,7.5,FJAM03a,-59.96,-24.38,CJAM03a,-23.04,46.83,14.85,5.66,,,,,,,,
JOB,2014,AMRE,263024817,04/06/14,ASY,M,1,64,7.5,FJAM03b,-59.88,-24.29,CJAM03b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024842,04/13/14,ASY,M,1,62.5,7.9,FJAM04,-68.44,-33.79,CJAM04,-22.52,43.21,13.81,6.27,,,,,,,,
JOB,2014,AMRE,263024860,04/19/14,ASY,F,1,60,6.5,FJAM05,-63.07,-27.82,CJAM05,-21.66,45.78,14.96,5.13,,,,,,,,
JOB,2014,AMRE,263024862,04/20/14,ASY,F,2,60.5,7,FJAM06a,-57.93,-22.13,CJAM06a,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024862,04/20/14,ASY,F,2,60.5,7,FJAM06b,-55.06,-18.94,CJAM06b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024898,04/23/14,ASY,F,1,58,5.8,FJAM07,-50.31,-13.67,CJAM07,-23.89,46.81,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024963,04/24/14,SY,F,1,59.5,6.6,FJAM08,-52.00,-15.54,CJAM08,-23.16,46.24,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024971,04/24/14,SY,F,2,57.5,7.2,FJAM09,-52.28,-15.85,CJAM09,-22.98,46.13,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024992,04/28/14,ASY,M,3,62,8,FJAM10a,-123.24,-94.61,CJAM10a,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,AMRE,263024992,04/28/14,ASY,M,3,62,8,FJAM10b,-125.67,-97.30,CJAM10b,-20.93,47.33,15.14,6.46,,,,,,,,
JOB,2014,AMRE,263024993,04/28/14,ASY,M,3,62.5,8.8,FJAM11,-126.65,-98.39,CJAM11,-24.80,46.19,14.86,6.87,,,,,,,,
JOB,2014,AMRE,263024997,04/28/14,ASY,M,2,62.5,7.5,FJAM12,-140.45,-113.71,CJAM12,-23.74,47.58,14.41,4.83,,,,,,,,
JOB,2014,AMRE,263024998,04/28/14,ASY,M,2,63.5,8.3,FJAM13,-143.19,-116.75,CJAM13,-21.76,46.37,14.27,5.93,,,,,,,,
JOB,2014,AMRE,267058013,04/30/14,ASY,M,1,61.5,6.6,FJAM14a,-122.74,-94.06,CJAM14a,-20.09,47.65,15.16,8.17,,,,,,,,
JOB,2014,AMRE,267058013,04/30/14,ASY,M,1,61.5,6.6,FJAM14b,-127.42,-99.25,CJAM14b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2620-74554,04/23/14,SY,F,0,58,6.0,FMAM01,-65.45,-27.55,CMAM01,-21.36,46.40,15.10,5.44,,,,,,,,
MAD,2014,AMRE,2620-74578,04/28/14,SY,M,2,63,8.3,FMAM04,-120.89,-87.55,CMAM04,-22.64,45.97,15.04,5.05,,,,,,,,
MAD,2014,AMRE,2620-74579,04/28/14,ASY,M,1,64,8.7,FMAM05,-142.81,-111.28,CMAM05,-20.50,46.20,14.88,6.50,,,,,,,,
MAD,2014,AMRE,2670-12224,05/09/14,ASY,F,0,60,7.6,FMAM08,-116.80,-83.12,CMAM08,-23.81,45.85,15.00,5.31,,,,,,,,
MAD,2014,AMRE,2620-74554,04/23/14,SY,F,0,58,6.0,FMAM01,-65.05,-27.12,CMAM01,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2620-74569,04/26/14,ASY,M,2,64,8.1,FMAM02,-142.22,-110.64,CMAM02,-21.72,47.69,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2620-74575,04/28/14,ASY,M,1,65,7.9,FMAM03,-140.93,-109.24,CMAM03,-20.52,46.18,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2620-74579,04/28/14,ASY,M,1,64,8.7,FMAM05,-144.19,-112.77,CMAM05,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2620-74588,05/01/14,SY,M,1,62,7.5,FMAM06,-151.68,-120.88,CMAM06,-21.33,46.43,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-12221,05/09/14,ASY,M,1,62,7.8,FMAM07a,-101.07,-66.11,CMAM07a,-22.32,46.90,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-12221,05/09/14,ASY,M,1,62,7.8,FMAM07b,-104.95,-70.30,CMAM07b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-12228,05/09/14,SY,M,3,60,8.6,FMAM09a,-117.96,-84.39,CMAM09a,-22.48,45.44,14.07,7.86,,,,,,,,
MAD,2014,AMRE,2670-12228,05/09/14,SY,M,3,60,8.6,FMAM09b,-124.53,-88.40,CMAM09b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-12230,05/09/14,ASY,F,3,60,8,FMAM10,-128.28,-92.49,CMAM10,-22.72,46.74,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-12231,05/09/14,ASY,F,2,61,8.3,FMAM11,-136.18,-101.10,CMAM11,-20.18,44.82,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-12242,05/10/14,ASY,M,0,63,6.3,FMAM12,-125.38,-89.33,CMAM12,-22.57,44.75,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-21674,04/06/14,ASY,M,0,64,7.5,FMAM13a,-60.52,-18.60,CMAM13a,-22.37,47.04,no_data,no_data,,,,,,,,
MAD,2014,AMRE,2670-21674,04/06/14,ASY,M,0,64,7.5,FMAM13b,-61.87,-20.07,CMAM13b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,OVEN,1921-73074,04/18/12,SY,U,1,70,15.7,JOOV1,-42.64,-14.19,JOOV1,-23.71,48.47,15.13,no_data,,,,,,,,
JOB,2012,OVEN,1921-73491,04/26/12,AHY,U,3,77.5,21.8,JOOV10,-138.18,-118.61,JOOV10,-23.68,49.43,15.42,no_data,,,,,,,,
JOB,2012,OVEN,1921-73535,04/29/12,SY,U,3,74.5,20,JOOV11,-129.82,-109.48,JOOV11,-22.38,48.68,15.17,no_data,,,,,,,,
JOB,2012,OVEN,1921-73552,05/01/12,SY,U,1,72.5,16.8,JOOV12,-42.6,-14.15,JOOV12,-22.37,48.25,15.07,no_data,,,,,,,,
JOB,2012,OVEN,1921-73558,05/02/12,AHY,U,1,76,19.6,JOOV13,-67.54,-42.69,JOOV13,-20.96,44.57,13.73,no_data,,,,,,,,
JOB,2012,OVEN,1921-73564,05/02/12,AHY,U,2,71.5,15.5,JOOV14,-89.52,-67.19,JOOV14,-23.63,43.84,13.64,no_data,,,,,,,,
JOB,2012,OVEN,1921-73567,05/02/12,AHY,U,1,74,17.2,JOOV15,-73.50,-49.33,JOOV15,-24.17,47.87,15.2,no_data,,,,,,,,
JOB,2012,OVEN,1921-73594,05/07/12,SY,U,2,73,16.6,JOOV16,-98.05,-76.69,JOOV16,-22.9,46.29,13.79,no_data,,,,,,,,
JOB,2012,OVEN,1921-73595,05/07/12,SY,U,2,73.5,19,JOOV17,-77.08,-53.32,JOOV17,-23.93,48.4,15.48,no_data,,,,,,,,
JOB,2012,OVEN,1921-73596,05/07/12,SY,U,3,71.5,17.4,JOOV18,-86.81,-64.17,JOOV18,-24.49,48.37,14.98,no_data,,,,,,,,
JOB,2012,OVEN,1921-73597,05/07/12,SY,U,3,70.5,17,JOOV19,-79.11,-55.58,JOOV19,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,OVEN,1921-73160,04/07/12,AHY,U,2,76,17.2,JOOV2,-50.42,-22.7,JOOV2,-24.06,46.79,14.46,no_data,,,,,,,,
JOB,2012,OVEN,1921-73598,05/07/12,SY,U,4,73,19.2,JOOV20,-114.44,-94.97,JOOV20,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,OVEN,1921-73610,05/09/12,SY,U,1,70,15.7,JOOV21,-91.28,-69.16,JOOV21,-22.67,47.71,15.05,no_data,,,,,,,,
JOB,2012,OVEN,1921-73297,04/11/12,AHY,U,1,71.5,15.5,JOOV3,-46.66,-18.59,JOOV3,-25.08,47.28,14.59,no_data,,,,,,,,
JOB,2012,OVEN,1921-73299,04/11/12,SY,U,1,72,17,JOOV4,-86.78,-62.44,JOOV4,-24.64,47.48,15.96,no_data,,,,,,,,
JOB,2012,OVEN,1921-73396,04/20/12,AHY,U,2,76,20,JOOV5,-106.68,-84.19,JOOV5,-23.34,45.78,14.19,no_data,,,,,,,,
JOB,2012,OVEN,1921-73415,04/21/12,AHY,U,4,74.5,20.1,JOOV7,-76.11,-50.78,JOOV7,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,OVEN,1921-73448,04/22/12,SY,U,1,74,18.8,JOOV8,-69.93,-44.02,JOOV8,-23.61,47.2,14.63,no_data,,,,,,,,
JOB,2012,OVEN,1921-73472,04/24/12,SY,U,4,70.5,20.7,JOOV9,-64.65,-38.26,JOOV9,-23.68,48.32,15.34,no_data,,,,,,,,
MAD,2012,OVEN,2311-56895,04/19/12,ASY,U,0,57,16.4,MAOV1,-91.92,-69.87,MAOV1,-23.66,49.11,14.96,no_data,,,,,,,,
MAD,2012,OVEN,2391-68872,05/02/12,ASY,U,1,72,16.8,MAOV10,-62.57,-37.15,MAOV10,-21.97,48.25,15.62,no_data,,,,,,,,
MAD,2012,OVEN,2391-68890,05/04/12,ASY,U,1,71,18.6,MAOV11,-96.54,-75.02,MAOV11,-20.96,45.94,13.79,no_data,,,,,,,,
MAD,2012,OVEN,2391-68954,04/07/12,AHY,U,0,73,15.8,MAOV12,-66.78,-41.84,MAOV12,-23.14,47.8,14.52,no_data,,,,,,,,
MAD,2012,OVEN,2401-30581,04/17/12,ASY,F,1,69,16.7,MAOV13,-62.85,-37.46,MAOV13,-23.89,48.47,15.03,no_data,,,,,,,,
MAD,2012,OVEN,2401-30594,04/17/12,ASY,U,2,72,18.2,MAOV14,-83.67,-60.67,MAOV14,-23.73,46.18,13.99,no_data,,,,,,,,
MAD,2012,OVEN,2521-44801,05/09/12,AHY,U,1,72,14.9,MAOV15,-149.1,-133.27,MAOV15,-22.19,48.88,14.86,no_data,,,,,,,,
MAD,2012,OVEN,2521-44815,05/10/12,AHY,U,1,71,15.8,MAOV16,-99.75,-79.16,MAOV16,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2012,OVEN,2391-68252,04/22/12,ASY,F,0,69,17.3,MAOV2,-52.68,-26.12,MAOV2,-22.96,48.5,15.26,no_data,,,,,,,,
MAD,2012,OVEN,2391-68254,04/22/12,ASY,U,3,75,20.5,MAOV3,-82.79,-59.69,MAOV3,-24.41,44.42,14.01,no_data,,,,,,,,
MAD,2012,OVEN,2391-68255,04/22/12,ASY,F,3,67,18.6,MAOV4,-62.73,-37.33,MAOV4,-23.92,43.06,13.28,no_data,,,,,,,,
MAD,2012,OVEN,2391-68256,04/22/12,ASY,F,2,67,17.7,MAOV5a,-58.72,-32.85,MAOV5a,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2012,OVEN,2391-68256,04/22/12,ASY,F,2,67,17.7,MAOV5b,-58.08,-32.15,MAOV5b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2012,OVEN,2391-68260,04/22/12,ASY,U,1,73,18.3,MAOV6,-82.73,-59.62,MAOV6,-22.01,48.48,15.24,no_data,,,,,,,,
MAD,2012,OVEN,2391-68300,04/24/12,ASY,U,2,72,17.4,MAOV7,-106.63,-86.26,MAOV7,-21.97,48.2,16.03,no_data,,,,,,,,
MAD,2012,OVEN,2391-68864,04/28/12,ASY,U,1,74,17.7,MAOV8,-140.25,-123.75,MAOV8,-23.88,47.56,14.89,no_data,,,,,,,,
MAD,2012,OVEN,2391-68870,05/01/12,ASY,U,1,75,14.7,MAOV9,-84.48,-61.57,MAOV9,-22.97,49.21,15.5,no_data,,,,,,,,
APP,2013,OVEN,251140939,04/23/13,ASY,U,2,70,17,APOV1,-50.23,-22.5,APOV1,-22.03,50.6,16.64,no_data,,,,,,,,
APP,2013,OVEN,251140944,04/26/13,SY,U,0,77,15,APOV2,-69.9,-43.99,APOV2,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,OVEN,251140945,04/27/13,ASY,U,1,71,18,APOV3,no_data,no_data,APOV3,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,OVEN,251140946,04/29/13,ASY,U,0,71,16,APOV4,-62.48,-35.88,APOV4,-21.43,48.51,15.18,no_data,,,,,,,,
APP,2013,OVEN,251140950,05/01/13,ASY,U,1,78,15.2,APOV5,-118.52,-97.13,APOV5,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,OVEN,251140953,05/02/13,AHY,U,3,77,no_data,APOV6,-84.1,-59.51,APOV6,-22.64,48.35,15.57,no_data,,,,,,,,
APP,2013,OVEN,251140957,05/04/13,SY,U,2,74,18.8,APOV7,-64.54,-38.13,APOV7,no_data,no_data,no_data,no_data,,,,,,,,
APP,2013,OVEN,251140958,05/04/13,SY,U,3,76,19.6,APOV8,-90.91,-66.95,APOV8,-21.43,49.02,15.93,no_data,,,,,,,,
APP,2013,OVEN,251140966,05/07/13,SY,U,1,70,13.5,APOV9a,-53.66,-26.24,APOV9a,-22.43,48.68,15.61,no_data,,,,,,,,
APP,2013,OVEN,251140966,05/07/13,SY,U,1,70,13.5,APOV9b,-44.42,-16.15,APOV9b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2013,OVEN,2511-51051,04/07/13,AHY,U,1,79,17.9,JOOV22,-51.71,-25.04,JOOV22,-24.3,45.1,13.92,no_data,,,,,,,,
